Started: 2020-02-10 22:04:27.135832
From a previously trained model which left off on start of epoch 6.Started: 2020-02-10 22:04:53.035998
From a previously trained model which left off on start of epoch 6.epoch6, iter0, loss: 3.0235354900360107 
epoch6, iter10, loss: 2.975170373916626 
epoch6, iter20, loss: 2.9637770652770996 
epoch6, iter30, loss: 3.064901828765869 
epoch6, iter40, loss: 2.9769287109375 
epoch6, iter50, loss: 2.9704089164733887 
epoch6, iter60, loss: 2.9371352195739746 
epoch6, iter70, loss: 2.9728617668151855 
epoch6, iter80, loss: 2.969304323196411 
epoch6, iter90, loss: 3.0048470497131348 
epoch6, iter100, loss: 2.9482502937316895 
epoch6, iter110, loss: 2.988068103790283 
epoch6, iter120, loss: 3.0231776237487793 
epoch6, iter130, loss: 2.96460223197937 
epoch6, iter140, loss: 2.9687795639038086 
epoch6, iter150, loss: 2.9918534755706787 
epoch6, iter160, loss: 2.9842801094055176 
epoch6, iter170, loss: 3.000460147857666 
epoch6, iter180, loss: 3.0191075801849365 
epoch6, iter190, loss: 2.9649064540863037 
epoch6, iter200, loss: 3.037830352783203 
epoch6, iter210, loss: 3.1193888187408447 
epoch6, iter220, loss: 2.938148260116577 
epoch6, iter230, loss: 3.0608530044555664 
epoch6, iter240, loss: 2.9289820194244385 
epoch6, iter250, loss: 2.983665943145752 
epoch6, iter260, loss: 3.021482467651367 
epoch6, iter270, loss: 2.9674367904663086 
epoch6, iter280, loss: 2.96230149269104 
epoch6, iter290, loss: 3.011199474334717 
epoch6, iter300, loss: 3.0156288146972656 
epoch6, iter310, loss: 3.0437066555023193 
epoch6, iter320, loss: 2.9444820880889893 
epoch6, iter330, loss: 2.9937613010406494 
epoch6, iter340, loss: 3.046344518661499 
epoch6, iter350, loss: 2.986666679382324 
epoch6, iter360, loss: 3.002786874771118 
epoch6, iter370, loss: 2.955008029937744 
epoch6, iter380, loss: 2.9497132301330566 
epoch6, iter390, loss: 3.028386116027832 
epoch6, iter400, loss: 2.9660868644714355 
epoch6, iter410, loss: 3.02311372756958 
epoch6, iter420, loss: 2.9616949558258057 
epoch6, iter430, loss: 3.0373051166534424 
epoch6, iter440, loss: 2.9690098762512207 
epoch6, iter450, loss: 2.992867946624756 
epoch6, iter460, loss: 2.951212167739868 
epoch6, iter470, loss: 3.033951997756958 
epoch6, iter480, loss: 2.978498697280884 
epoch6, iter490, loss: 2.9867091178894043 
epoch6, iter500, loss: 3.0426411628723145 
epoch6, iter510, loss: 3.0209994316101074 
epoch6, iter520, loss: 3.0054924488067627 
epoch6, iter530, loss: 3.032224655151367 
epoch6, iter540, loss: 3.005791425704956 
epoch6, iter550, loss: 3.000293731689453 
epoch6, iter560, loss: 2.9554436206817627 
epoch6, iter570, loss: 2.9551124572753906 
epoch6, iter580, loss: 2.940563201904297 
epoch6, iter590, loss: 2.9564990997314453 
Finish epoch 6, time elapsed 1377.5799987316132 
Training Check:	Loss: 2.986955	Accuracy: 58.956744	IoU: 0.066200 
Best Loss: 2.9903012204170225
Validation Results: Loss: 2.990301	Accuracy: 58.618234	IoU: 0.065256 
epoch7, iter0, loss: 3.0017733573913574 
epoch7, iter10, loss: 3.041142225265503 
epoch7, iter20, loss: 2.96460223197937 
epoch7, iter30, loss: 2.954921245574951 
epoch7, iter40, loss: 2.9784185886383057 
epoch7, iter50, loss: 3.0026440620422363 
epoch7, iter60, loss: 3.004833459854126 
epoch7, iter70, loss: 2.989194393157959 
epoch7, iter80, loss: 2.969052791595459 
epoch7, iter90, loss: 2.9285242557525635 
epoch7, iter100, loss: 3.0322184562683105 
epoch7, iter110, loss: 3.016322135925293 
epoch7, iter120, loss: 2.9773292541503906 
epoch7, iter130, loss: 3.046627998352051 
epoch7, iter140, loss: 3.003950834274292 
epoch7, iter150, loss: 2.992253303527832 
epoch7, iter160, loss: 2.948854446411133 
epoch7, iter170, loss: 3.0672974586486816 
epoch7, iter180, loss: 2.976109027862549 
